add_1,add_2,area,population,aver_old,under_15,15_65,over_65,rate_sex
愛知県,東海市,43.43 ,"2,577.6",42.3 ,15.6 ,62.9 ,21.4 ,108.2 
愛知県,大府市,33.66 ,"2,648.8",42.1 ,15.9 ,63.0 ,21.1 ,103.7 
愛知県,知多市,45.90 ,"1,843.5",45.1 ,14.1 ,60.5 ,25.5 ,100.6 
愛知県,知立市,16.31 ,"4,322.6",41.9 ,14.7 ,66.0 ,19.4 ,108.4 
愛知県,尾張旭市,21.03 ,"3,841.5",44.9 ,14.5 ,60.5 ,25.0 ,94.5 
愛知県,高浜市,13.11 ,"3,526.8",41.4 ,16.2 ,64.8 ,19.0 ,106.9 
愛知県,岩倉市,10.47 ,"4,542.7",44.9 ,12.9 ,63.0 ,24.1 ,99.3 
愛知県,豊明市,23.22 ,"2,977.0",44.7 ,13.2 ,62.0 ,24.8 ,101.8 
愛知県,日進市,34.91 ,"2,520.1",41.4 ,16.5 ,63.6 ,19.9 ,98.8 
愛知県,田原市,191.12 ,326.3,45.9 ,13.2 ,61.1 ,25.7 ,104.8 
愛知県,愛西市,66.70 ,945.8,47.1 ,12.9 ,57.9 ,29.3 ,94.7 
愛知県,清須市,17.35 ,"3,880.5",43.7 ,14.3 ,62.7 ,23.0 ,100.9 
愛知県,北名古屋市,18.37 ,"4,579.9",43.5 ,15.0 ,61.2 ,23.8 ,99.7 
愛知県,弥富市,49.00 ,883.0,44.7 ,13.8 ,61.3 ,25.0 ,99.3 
愛知県,みよし市,32.19 ,"1,920.2",40.3 ,16.5 ,66.6 ,16.9 ,111.9 
愛知県,あま市,27.49 ,"3,161.1",44.7 ,14.3 ,60.1 ,25.6 ,99.0 
愛知県,長久手市,21.55 ,"2,672.8",38.6 ,17.7 ,66.8 ,15.5 ,97.4 
愛知県,東郷町,18.03 ,"2,377.0",42.6 ,16.6 ,61.2 ,22.2 ,100.1 
愛知県,豊山町,6.18 ,"2,455.8",42.4 ,16.0 ,61.9 ,22.1 ,104.9 
愛知県,大口町,13.61 ,"1,710.1",43.1 ,15.3 ,61.6 ,23.1 ,100.7 
愛知県,扶桑町,11.19 ,"3,021.1",45.0 ,14.4 ,59.5 ,26.1 ,98.1 
愛知県,大治町,6.59 ,"4,702.6",42.1 ,16.5 ,62.5 ,21.0 ,99.9 
愛知県,蟹江町,11.09 ,"3,344.0",45.0 ,13.0 ,62.8 ,24.2 ,97.1 
愛知県,飛島村,22.42 ,196.1,48.1 ,13.8 ,55.6 ,30.6 ,94.0 
愛知県,阿久比町,23.80 ,"1,165.8",44.2 ,16.2 ,58.2 ,25.6 ,96.5 
愛知県,東浦町,31.14 ,"1,580.9",44.4 ,14.2 ,61.4 ,24.4 ,99.4 
愛知県,南知多町,38.37 ,487.5,51.1 ,9.8 ,55.8 ,34.5 ,94.1 
愛知県,美浜町,46.20 ,510.3,46.3 ,11.3 ,61.0 ,27.6 ,95.5 
愛知県,武豊町,25.92 ,"1,638.6",43.8 ,14.8 ,61.4 ,23.8 ,101.7 
愛知県,幸田町,56.72 ,697.3,42.0 ,16.8 ,62.7 ,20.5 ,101.2 
愛知県,設楽町,273.94 ,18.5,58.5 ,7.9 ,44.8 ,47.4 ,93.7 
愛知県,東栄町,123.38 ,27.9,59.0 ,8.1 ,43.2 ,48.8 ,90.0 
愛知県,豊根村,155.88 ,7.3,59.4 ,9.6 ,41.9 ,48.5 ,86.7 
三重県,三重県,"5,774.40 ",314.5,46.9 ,13.0 ,59.1 ,27.9 ,94.8 
三重県,津市,711.11 ,393.6,46.8 ,12.8 ,59.3 ,27.9 ,94.1 
三重県,四日市市,206.44 ,"1,506.6",45.1 ,13.5 ,61.9 ,24.7 ,98.9 
三重県,伊勢市,208.35 ,613.5,47.8 ,12.5 ,58.1 ,29.4 ,89.8 
